active;id;name;unit;currency;price_6mm;price_8mm;price_10mm;HEX_color;roughness;fluted;autoImg;pathImg
;;;;;;;;;;;;
+;id_1;Glass (tempered, transparent, universal) ;m²;USD;183,4;262;340,6;#D6E4E5;0;-;-;https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg
+;id_2;Glass (tempered, matte, universal) ;m²;USD;256,2;366;475,8;#D6E4E5;0.5;-;+;http://localhost/shared/upload/autogenerated_glass_37aedafa2e.png
+;id_3;Glass (tempered, transparent, clear) ;m²;USD;349,3;499;648,7;#FFFFFF;0;-;+;http://localhost/shared/upload/autogenerated_glass_c22e2b109f.png
+;id_4;Glass (tempered, matte, clear) ;m²;USD;395,5;565;734,5;#FFFFFF;0.5;-;+;http://localhost/shared/upload/autogenerated_glass_05e52a241b.png
+;id_5;Glass (tempered, tinted, translucent, graphite);m²;USD;307,3;439;570,7;#787878;0;-;+;http://localhost/shared/upload/autogenerated_glass_0b8af9f13d.png
+;id_6;Glass (tempered, tinted, translucent, bronze);m²;USD;307,3;439;570,7;#91765b;0;-;+;http://localhost/shared/upload/autogenerated_glass_558e5afa10.png
+;id_7;Glass (tempered, matte, graphite);m²;USD;302,4;432;561,6;#787878;0.5;-;+;http://localhost/shared/upload/autogenerated_glass_7bd55cca82.png
+;id_8;Glass (tempered, matte, bronze);m²;USD;302,4;432;561,6;#91765b;0.5;-;+;http://localhost/shared/upload/autogenerated_glass_73ba513412.png
+;id_9;Glass (tempered, corrugated);m²;USD;735;1050;1365;#C0C0C0;0.3;+;+;http://localhost/shared/upload/autogenerated_glass_d771dc6a3b.png
