active;id;type;furniture_type_id;name;unit;currency;price_6mm;price_8mm;price_10mm
;;;;;;;;;
+;id_1;profile;chrome;U-Profile (aluminum, polymer coating, chrome );pcs.;USD;53,2;76;98,8
+;id_2;profile;chrome_matte;U-Profile (aluminum, polymer coating, matte chrome);pcs.;USD;76,3;109;141,7
+;id_3;profile;black;U-Profile (aluminum, polymer coating, black);pcs.;USD;60,2;86;111,8
+;id_4;profile;bronze;U-Profile (aluminum, polymer coating, bronze);pcs.;USD;65,1;93;120,9
+;id_5;profile;gold;U-Profile (aluminum, polymer coating, gold);pcs.;USD;62,3;89;115,7
+;id_6;profile;gold_matte;U-Profile (aluminum, polymer coating, matte gold);pcs.;USD;76,3;109;141,7
+;id_7;profile;white;U-Profile (aluminum, polymer coating, white);pcs.;USD;58,1;83;561,6
;;;;;;;;;
+;id_1;corner;chrome;90- Degree Corner Profile for Glass, mm (90-degree glass-to-glass connectors, set, chrome);pcs.;USD;20.3;29;37,7
+;id_2;corner;chrome_matte;90- Degree Corner Profile for Glass, mm (90-degree glass-to-glass connectors, set, matte chrome);pcs.;USD;20.3;29;37,7
+;id_3;corner;black;90- Degree Corner Profile for Glass, mm (90-degree glass-to-glass connectors, set, black);pcs.;USD;21.7;31;40,3
+;id_4;corner;bronze;90- Degree Corner Profile for Glass, mm (90-degree glass-to-glass connectors, set, bronze);pcs.;USD;25.9;37;48,1
+;id_5;corner;gold;90- Degree Corner Profile for Glass, mm (90-degree glass-to-glass connectors, set, gold);pcs.;USD;25.9;37;48,1
+;id_6;corner;gold_matte;90- Degree Corner Profile for Glass, mm (90-degree glass-to-glass connectors, set, matte gold);pcs.;USD;25.9;37;48,1
+;id_7;corner;white;90- Degree Corner Profile for Glass, mm (90-degree glass-to-glass connectors, set, white);pcs.;USD;20.3;29;37,7
;;;;;;;;;
+;id_1;cap;chrome;U-Profile Cap (chrome);pcs.;USD;20,3;37,7;29
+;id_2;cap;chrome_matte;U-Profile Cap (matte chrome);pcs.;USD;20,3;37,7;29
+;id_3;cap;black;U-Profile Cap (black);pcs.;USD;21,7;40,3;31
+;id_4;cap;bronze;U-Profile Cap (bronze);pcs.;USD;25,9;48,1;37
+;id_5;cap;gold;U-Profile Cap (gold);pcs.;USD;25,9;48,1;37
+;id_6;cap;gold_matte;U-Profile Cap (matte gold);pcs.;USD;25,9;48,1;37
+;id_7;cap;white;U-Profile Cap (white);pcs.;USD;20,3;37,7;29
;;;;;;;;;
