active;id;type;furniture_type_id;door_type_ids;interface_name;name;unit;currency;price;pathImg
;;;;;;;;;;
+;id_1;knob;chrome;one_swing, two_swing;Gałka uchwytowa 1;Gałka uchwytowa 1 (chrom);szt.;USD;65;
+;id_2;knob;chrome_matte;one_swing, two_swing;Gałka uchwytowa 1;Gałka uchwytowa 1 (chrom matowy);szt.;USD;80;
+;id_3;knob;black;one_swing, two_swing;Gałka uchwytowa 1;Gałka uchwytowa 1 (czarny);szt.;USD;70;
+;id_4;knob;bronze;one_swing, two_swing;Gałka uchwytowa 1;Gałka uchwytowa 1 (brąz);szt.;USD;75;
+;id_5;knob;gold;one_swing, two_swing;Gałka uchwytowa 1;Gałka uchwytowa 1 (złoto);szt.;USD;75;
+;id_6;knob;gold_matte;one_swing, two_swing;Gałka uchwytowa 1;Gałka uchwytowa 1 (złoto matowe);szt.;USD;80;
+;id_7;knob;white;one_swing, two_swing;Gałka uchwytowa 1;Gałka uchwytowa 1 (biały);szt.;USD;75;
+;id_1_1;knob;chrome;one_swing, two_swing;Gałka uchwytowa 2;Gałka uchwytowa 2 (chrom);szt.;USD;65;
+;id_2_1;knob;chrome_matte;one_swing, two_swing;Gałka uchwytowa 2;Gałka uchwytowa 2 (chrom matowy);szt.;USD;80;
+;id_3_1;knob;black;one_swing, two_swing;Gałka uchwytowa 2;Gałka uchwytowa 2 (czarny);szt.;USD;70;
+;id_4_1;knob;bronze;one_swing, two_swing;Gałka uchwytowa 2;Gałka uchwytowa 2 (brąz);szt.;USD;75;
+;id_5_1;knob;gold;one_swing, two_swing;Gałka uchwytowa 2;Gałka uchwytowa 2 (złoto);szt.;USD;75;
+;id_6_1;knob;gold_matte;one_swing, two_swing;Gałka uchwytowa 2;Gałka uchwytowa 2 (złoto matowe);szt.;USD;80;
+;id_7_1;knob;white;one_swing, two_swing;Gałka uchwytowa 2;Gałka uchwytowa 2 (biały);szt.;USD;75;
;;;;;;;;;;
+;id_8;bracket;chrome;one_swing, two_swing;Uchwyt prosty 1;Uchwyt prosty 1 (chrom);szt.;USD;140;
+;id_9;bracket;chrome_matte;one_swing, two_swing;Uchwyt prosty 1;Uchwyt prosty 1 (chrom matowy);szt.;USD;168;
+;id_10;bracket;black;one_swing, two_swing;Uchwyt prosty 1;Uchwyt prosty 1 (czarny);szt.;USD;150;
+;id_11;bracket;bronze;one_swing, two_swing;Uchwyt prosty 1;Uchwyt prosty 1 (brąz);szt.;USD;155;
+;id_12;bracket;gold;one_swing, two_swing;Uchwyt prosty 1;Uchwyt prosty 1 (złoto);szt.;USD;155;
+;id_13;bracket;gold_matte;one_swing, two_swing;Uchwyt prosty 1;Uchwyt prosty 1 (złoto matowe);szt.;USD;168;
+;id_14;bracket;white;one_swing, two_swing;Uchwyt prosty 1;Uchwyt prosty 1 (biały);szt.;USD;155;
+;id_8_1;bracket;chrome;one_swing, two_swing;Uchwyt prosty 2;Uchwyt prosty 2 (chrom);szt.;USD;140;
+;id_9_1;bracket;chrome_matte;one_swing, two_swing;Uchwyt prosty 2;Uchwyt prosty 2 (chrom matowy);szt.;USD;168;
+;id_10_1;bracket;black;one_swing, two_swing;Uchwyt prosty 2;Uchwyt prosty 2 (czarny);szt.;USD;150;
+;id_11_1;bracket;bronze;one_swing, two_swing;Uchwyt prosty 2;Uchwyt prosty 2 (brąz);szt.;USD;155;
+;id_12_1;bracket;gold;one_swing, two_swing;Uchwyt prosty 2;Uchwyt prosty 2 (złoto);szt.;USD;155;
+;id_13_1;bracket;gold_matte;one_swing, two_swing;Uchwyt prosty 2;Uchwyt prosty 2 (złoto matowe);szt.;USD;168;
+;id_14_1;bracket;white;one_swing, two_swing;Uchwyt prosty 2;Uchwyt prosty 2 (biały);szt.;USD;155;
;;;;;;;;;;
+;id_15;holder;chrome;one_swing, two_swing;Uchwyt na ręczniki montowany na szybie;Uchwyt na ręczniki montowany na szybie (chrom);szt.;USD;95;
+;id_16;holder;chrome_matte;one_swing, two_swing;Uchwyt na ręczniki montowany na szybie;Uchwyt na ręczniki montowany na szybie (chrom matowy);szt.;USD;110;
+;id_17;holder;black;one_swing, two_swing;Uchwyt na ręczniki montowany na szybie;Uchwyt na ręczniki montowany na szybie (czarny);szt.;USD;100;
+;id_18;holder;bronze;one_swing, two_swing;Uchwyt na ręczniki montowany na szybie;Uchwyt na ręczniki montowany na szybie (brąz);szt.;USD;110;
+;id_19;holder;gold;one_swing, two_swing;Uchwyt na ręczniki montowany na szybie;Uchwyt na ręczniki montowany na szybie (złoto);szt.;USD;110;
+;id_20;holder;gold_matte;one_swing, two_swing;Uchwyt na ręczniki montowany na szybie;Uchwyt na ręczniki montowany na szybie (złoto matowe);szt.;USD;110;
+;id_21;holder;white;one_swing, two_swing;Uchwyt na ręczniki montowany na szybie;Uchwyt na ręczniki montowany na szybie (biały);szt.;USD;100;
;;;;;;;;;;
+;id_22;sliding;chrome;one_slide,two_slide;Uchwyt wpuszczany 1;Uchwyt wpuszczany 1 (chrom);szt.;USD;65;
+;id_23;sliding;chrome_matte;one_slide,two_slide;Uchwyt wpuszczany 1;Uchwyt wpuszczany 1 (chrom matowy);szt.;USD;80;
+;id_24;sliding;black;one_slide,two_slide;Uchwyt wpuszczany 1;Uchwyt wpuszczany 1 (czarny);szt.;USD;70;
+;id_25;sliding;bronze;one_slide,two_slide;Uchwyt wpuszczany 1;Uchwyt wpuszczany 1 (brąz);szt.;USD;75;
+;id_26;sliding;gold;one_slide,two_slide;Uchwyt wpuszczany 1;Uchwyt wpuszczany 1 (złoto);szt.;USD;75;
+;id_27;sliding;gold_matte;one_slide,two_slide;Uchwyt wpuszczany 1;Uchwyt wpuszczany 1 (złoto matowe);szt.;USD;80;
+;id_28;sliding;white;one_slide,two_slide;Uchwyt wpuszczany 1;Uchwyt wpuszczany 1 (biały);szt.;USD;75;
+;id_22_1;sliding;chrome;one_slide,two_slide;Uchwyt wpuszczany 2;Uchwyt wpuszczany 2 (chrom);szt.;USD;65;
+;id_23_1;sliding;chrome_matte;one_slide,two_slide;Uchwyt wpuszczany 2;Uchwyt wpuszczany 2 (chrom matowy);szt.;USD;80;
+;id_24_1;sliding;black;one_slide,two_slide;Uchwyt wpuszczany 2;Uchwyt wpuszczany 2 (czarny);szt.;USD;70;
+;id_25_1;sliding;bronze;one_slide,two_slide;Uchwyt wpuszczany 2;Uchwyt wpuszczany 2 (brąz);szt.;USD;75;
+;id_26_1;sliding;gold;one_slide,two_slide;Uchwyt wpuszczany 2;Uchwyt wpuszczany 2 (złoto);szt.;USD;75;
+;id_27_1;sliding;gold_matte;one_slide,two_slide;Uchwyt wpuszczany 2;Uchwyt wpuszczany 2 (złoto matowe);szt.;USD;80;
+;id_28_1;sliding;white;one_slide,two_slide;Uchwyt wpuszczany 2;Uchwyt wpuszczany 2 (biały);szt.;USD;75;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
