active;id;type;crossbar_type_id;furniture_type_id;name;unit;currency;price
;;;;;;;;
+;id_1;crossbar;rect;chrome;Стабилизирующая штанга прямоугольная хром;мп.;USD;50
+;id_2;crossbar;rect;chrome_matte;Стабилизирующая штанга прямоугольная матовый хром;мп.;USD;55
+;id_3;crossbar;rect;black;Стабилизирующая штанга прямоугольная черный;мп.;USD;50
+;id_4;crossbar;rect;bronze;Стабилизирующая штанга прямоугольная бронза;мп.;USD;55
+;id_5;crossbar;rect;gold;Стабилизирующая штанга прямоугольная золото;мп.;USD;55
+;id_6;crossbar;rect;gold_matte;Стабилизирующая штанга прямоугольная матовое золото;мп.;USD;55
+;id_7;crossbar;rect;white;Стабилизирующая штанга прямоугольная белый;мп.;USD;55
;;;;;;;;
+;id_8;crossbar;round;chrome;Стабилизирующая штанга круглая хром;мп.;USD;65
+;id_9;crossbar;round;chrome_matte;Стабилизирующая штанга круглая матовый хром;мп.;USD;80
+;id_10;crossbar;round;black;Стабилизирующая штанга круглая черная;мп.;USD;65
+;id_11;crossbar;round;bronze;Стабилизирующая штанга круглая бронза;мп.;USD;80
+;id_12;crossbar;round;gold;Стабилизирующая штанга круглая золото;мп.;USD;80
+;id_13;crossbar;round;gold_matte;Стабилизирующая штанга круглая матовое золото;мп.;USD;80
+;id_14;crossbar;round;white;Стабилизирующая штанга круглая белый;мп.;USD;80
;;;;;;;;
+;id_15;crossbar;corner;chrome;Угловой стабилизатор хром;шт.;USD;305
+;id_16;crossbar;corner;chrome_matte;Угловой стабилизатор матовый хром;шт.;USD;350
+;id_17;crossbar;corner;black;Угловой стабилизатор черный;шт.;USD;305
+;id_18;crossbar;corner;bronze;Угловой стабилизатор бронза;шт.;USD;320
+;id_19;crossbar;corner;gold;Угловой стабилизатор золото;шт.;USD;320
+;id_20;crossbar;corner;gold_matte;Угловой стабилизатор матовое золото;шт.;USD;350
+;id_21;crossbar;corner;white;Угловой стабилизатор белый;шт.;USD;320
;;;;;;;;
+;id_1;fix;rect;chrome;Крепление для прямоугольной штанги к стене хром;шт.;USD;25
+;id_2;fix;rect;chrome_matte;Крепление для прямоугольной штанги к стене матовый хром;шт.;USD;30
+;id_3;fix;rect;black;Крепление для прямоугольной штанги к стене черный;шт.;USD;25
+;id_4;fix;rect;bronze;Крепление для прямоугольной штанги к стене бронза;шт.;USD;30
+;id_5;fix;rect;gold;Крепление для прямоугольной штанги к стене золото;шт.;USD;30
+;id_6;fix;rect;gold_matte;Крепление для прямоугольной штанги к стене матовое золото;шт.;USD;30
+;id_7;fix;rect;white;Крепление для прямоугольной штанги к стене белый;шт.;USD;30
;;;;;;;;
+;id_8;fix;round;chrome;Крепление для круглой штанги к стене хром;шт.;USD;25
+;id_9;fix;round;chrome_matte;Крепление для круглой штанги к стене матовый хром;шт.;USD;30
+;id_10;fix;round;black;Крепление для круглой штанги к стене  черный;шт.;USD;25
+;id_11;fix;round;bronze;Крепление для круглой штанги к стене бронза;шт.;USD;30
+;id_12;fix;round;gold;Крепление для круглой штанги к стене золото;шт.;USD;30
+;id_13;fix;round;gold_matte;Крепление для круглой штанги к стене матовое золото;шт.;USD;30
+;id_14;fix;round;white;Крепление для круглой штанги к стене белый;шт.;USD;30
;;;;;;;;
+;id_1;fix_glass;rect;chrome;Держатель стекла для прямоугольной штанги хром;шт.;USD;25
+;id_2;fix_glass;rect;chrome_matte;Держатель стекла для прямоугольной штанги матовый хром;шт.;USD;30
+;id_3;fix_glass;rect;black;Держатель стекла для прямоугольной штанги черный;шт.;USD;25
+;id_4;fix_glass;rect;bronze;Держатель стекла для прямоугольной штанги бронза;шт.;USD;30
+;id_5;fix_glass;rect;gold;Держатель стекла для прямоугольной штанги золото;шт.;USD;30
+;id_6;fix_glass;rect;gold_matte;Держатель стекла для прямоугольной штанги матовое золото;шт.;USD;30
+;id_7;fix_glass;rect;white;Держатель стекла для прямоугольной штанги белый;шт.;USD;30
;;;;;;;;
+;id_8;fix_glass;round;chrome;Держатель стекла для круглой штанги хром;шт.;USD;25
+;id_9;fix_glass;round;chrome_matte;Держатель стекла для круглой штанги матовый хром;шт.;USD;30
+;id_10;fix_glass;round;black;Держатель стекла для круглой штанги черный;шт.;USD;25
+;id_11;fix_glass;round;bronze;Держатель стекла для круглой штанги бронза;шт.;USD;30
+;id_12;fix_glass;round;gold;Держатель стекла для круглой штанги золото;шт.;USD;30
+;id_13;fix_glass;round;gold_matte;Держатель стекла для круглой штанги матовое золото;шт.;USD;30
+;id_14;fix_glass;round;white;Держатель стекла для круглой штанги белый;шт.;USD;30
;;;;;;;;
