active;id;name;unit;currency;price_6mm;price_8mm;price_10mm;HEX_color;roughness;fluted;autoImg;pathImg
;;;;;;;;;;;;
+;id_1;Стекло закаленное прозрачное универсальное;м²;USD;;63;;#edf8f7;0;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_996767ba49.png
+;id_2;Стекло закаленное матовое универсальное			;м²;USD;;92;;#edf8f7;0.5;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_15a921282f.png
+;id_3;Стекло закаленное прозрачное осветленное			;м²;USD;;117;;#edf2f8;0;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_effce7e187.png
+;id_4;Стекло закаленное матовое осветленное			;м²;USD;;133;;#edf2f8;0.5;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_9ab8d201b5.png
+;id_5;Стекло закаленное тонированное полупрозрачное графит			;м²;USD;;100;;#787878;0;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_ad15a2a48a.png
+;id_6;Стекло закаленное тонированное полупрозрачное бронза			;м²;USD;;100;;#91765b;0;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_dbdea8c73e.png
+;id_7;Стекло закаленное матовое графит			;м²;USD;;117;;#787878;0.5;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_cdce20124a.png
+;id_8;Стекло закаленное матовое бронза			;м²;USD;;117;;#91765b;0.5;-;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_84f1db90be.png
+;id_9;Стекло закаленное рифленое			;м²;USD;;317;;#C0C0C0;0.3;+;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_e908e450f0.png
+;id_10;Стекло Триплекс цветное;м²;USD;;350;;#daa520;0.2;+;+;https://showers-by.vistegra.by/products/dealer/34/shared/upload/autogenerated_glass_7a4d9309cd.png
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
