active;id;type;furniture_type_id;name;unit;currency;price_6mm;price_8mm;price_10mm
;;;;;;;;;
+;id_1;profile;chrome;П-профиль из алюминия в полимерном покрытии xром;шт.;USD;53,2;76;98,8
+;id_2;profile;chrome_matte;П-профиль из алюминия в полимерном покрытии матовый хром;шт.;USD;76,3;109;141,7
+;id_3;profile;black;П-профиль из алюминия в полимерном покрытии черный;шт.;USD;60,2;86;111,8
+;id_4;profile;bronze;П-профиль из алюминия в полимерном покрытии бронза;шт.;USD;65,1;93;120,9
+;id_5;profile;gold;П-профиль из алюминия в полимерном покрытии золото;шт.;USD;62,3;89;115,7
+;id_6;profile;gold_matte;П-профиль из алюминия в полимерном покрытии матовое золото;шт.;USD;76,3;109;141,7
+;id_7;profile;white;П-профиль из алюминия в полимерном покрытии белый;шт.;USD;58,1;83;561,6
;;;;;;;;;
+;id_1;corner;chrome;Профиль угловой 90 градусов для стекла, мм (Коннекторы 90° стекло – стекло, комплект) хром;шт.;USD;20.3;29;37,7
+;id_2;corner;chrome_matte;Профиль угловой 90 градусов для стекла, мм (Коннекторы 90° стекло – стекло, комплект) матовый хром;шт.;USD;20.3;29;37,7
+;id_3;corner;black;Профиль угловой 90 градусов для стекла, мм (Коннекторы 90° стекло – стекло, комплект) черный;шт.;USD;21.7;31;40,3
+;id_4;corner;bronze;Профиль угловой 90 градусов для стекла, мм (Коннекторы 90° стекло – стекло, комплект) бронза;шт.;USD;25.9;37;48,1
+;id_5;corner;gold;Профиль угловой 90 градусов для стекла, мм (Коннекторы 90° стекло – стекло, комплект) золото;шт.;USD;25.9;37;48,1
+;id_6;corner;gold_matte;Профиль угловой 90 градусов для стекла, мм (Коннекторы 90° стекло – стекло, комплект) матовое золото;шт.;USD;25.9;37;48,1
+;id_7;corner;white;Профиль угловой 90 градусов для стекла, мм (Коннекторы 90° стекло – стекло, комплект) белый;шт.;USD;20.3;29;37,7
;;;;;;;;;
+;id_1;cap;chrome;Заглушка П-профиля, хром;шт.;USD;20,3;37,7;29
+;id_2;cap;chrome_matte;Заглушка П-профиля, матовый хром;шт.;USD;20,3;37,7;29
+;id_3;cap;black;Заглушка П-профиля, черный;шт.;USD;21,7;40,3;31
+;id_4;cap;bronze;Заглушка П-профиля, бронза;шт.;USD;25,9;48,1;37
+;id_5;cap;gold;Заглушка П-профиля, золото;шт.;USD;25,9;48,1;37
+;id_6;cap;gold_matte;Заглушка П-профиля, матовое золото;шт.;USD;25,9;48,1;37
+;id_7;cap;white;Заглушка П-профиля, белый;шт.;USD;20,3;37,7;29
;;;;;;;;;
